County,Household Income 2011,Population 2011,Median Age 2011,Per Capita Income 2011,Poverty Count 2011,Employed Persons Over 16 2011,Unemployed Persons Over 16 2011,Household Income 2016,Population 2016,Median Age 2016,Per Capita Income 2016,Poverty Count 2016,Employed Persons Over 16 2016,Unemployed Persons Over 16 2016,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16",Obesity 2011 %,Obesity 2016 %,New Diabetes per 1k : 2011,New Diabetes per 1k : 2016,Diagnosed Diabetes 2011 %,Diagnosed Diabetes 2016 %,Population 2012,No Education 2012,High School Education 2012,GED education 2012,Associate Education 2012,Bachelor Education 2012,Masters Education 2012,Professional Education 2012,Doctorate Education 2012,College 2012,College Rate 2012,No Education 2016,High School Education 2016,GED education 2016,Associate Education 2016,Bachelor Education 2016,Masters Education 2016,Professional Education 2016,Doctorate Education 2016,College 2016,College Rate 2016
Mariposa,49174.0,18290.0,48.4,27209.0,2611.0,8754.0,6649.0,49265.0,17645.0,50.6,27832.0,2849.0,7953.0,7135.0,9,8,-11.111111,4.95213,4.565169999999998,-7.814045,23.7,22.5,8.2,4.1,7.8,4.8,18193.0,24.0,3654.0,510.0,1264.0,1961.0,532.0,193.0,91.0,4041.0,22.211839718573078,81.0,3357.0,482.0,1105.0,1879.0,839.0,210.0,137.0,4170.0,23.632757155001418
Mendocino,44527.0,87525.0,41.4,23585.0,15298.0,43750.0,26477.0,43510.0,87409.0,42.3,25278.0,17366.0,41383.0,29268.0,52,54,3.8461540000000003,5.9519,6.16375,3.5593019999999997,23.9,32.2,7.0,4.9,6.8,5.8,87577.0,846.0,13984.0,1981.0,5645.0,7952.0,3526.0,1188.0,385.0,18696.0,21.348070840517487,627.0,13991.0,2167.0,4816.0,9665.0,3374.0,1139.0,669.0,19663.0,22.49539521101946
Merced,43945.0,253606.0,29.5,18304.0,57461.0,111072.0,71235.0,44397.0,265001.0,30.6,19130.0,62661.0,115412.0,78827.0,127,143,12.598425,4.89201,5.3184,8.715995,30.9,28.3,8.8,14.6,8.5,14.2,256398.0,6841.0,30273.0,5266.0,10181.0,12085.0,3754.0,1961.0,401.0,28382.0,11.069509122536056,6932.0,33137.0,5734.0,11116.0,13682.0,4956.0,1238.0,1165.0,32157.0,12.134671189920036
Modoc,35402.0,9587.0,46.5,20769.0,1816.0,3942.0,3805.0,41194.0,9033.0,47.1,21899.0,1483.0,3790.0,3695.0,7,3,-57.14285699999999,7.35681,3.3553300000000004,-54.391487,23.7,27.7,7.2,17.5,7.1,15.4,9545.0,63.0,1643.0,155.0,631.0,903.0,245.0,106.0,72.0,1957.0,20.50288108957569,17.0,1590.0,220.0,826.0,926.0,208.0,61.0,26.0,2047.0,22.661352817447142
Mono,60469.0,14016.0,36.5,28789.0,1554.0,8855.0,2424.0,58937.0,14051.0,38.9,31059.0,1222.0,8373.0,3148.0,18,21,16.666667,12.56194,14.892560000000001,18.553058,21.2,24.6,6.9,4.5,6.8,5.1,14181.0,108.0,1788.0,373.0,936.0,2001.0,647.0,151.0,18.0,3753.0,26.46498836471335,11.0,1530.0,141.0,708.0,2063.0,539.0,224.0,20.0,3554.0,25.293573411145115
Monterey,59737.0,411385.0,32.8,25508.0,59315.0,202571.0,111189.0,60889.0,430201.0,33.7,25947.0,66289.0,199749.0,128298.0,246,264,7.317073,5.84098,6.050009999999999,3.57861,21.9,27.6,6.7,7.3,6.7,8.0,416199.0,8949.0,43693.0,8313.0,18789.0,36833.0,15155.0,4482.0,3392.0,78651.0,18.89745049843945,8956.0,45890.0,9196.0,21913.0,38978.0,16843.0,4788.0,3361.0,85883.0,19.963458941285587
Napa,68641.0,135377.0,39.5,35309.0,12906.0,70689.0,37214.0,74609.0,140823.0,40.7,38057.0,12086.0,74844.0,39023.0,76,82,7.894736999999999,5.51104,5.7889599999999986,5.042914,24.0,23.2,6.5,6.2,6.5,7.2,136644.0,1484.0,16011.0,1969.0,8255.0,19110.0,6365.0,2503.0,1056.0,37289.0,27.28916015339129,1989.0,15919.0,2354.0,8564.0,21345.0,6815.0,2523.0,1452.0,40699.0,28.900818758299426
Nevada,58077.0,98392.0,47.3,31607.0,10072.0,48812.0,33069.0,57429.0,98639.0,49.5,33385.0,11835.0,45444.0,37998.0,53,65,22.641509,5.36905,6.5621399999999985,22.22178,17.3,21.5,5.1,3.2,5.2,4.1,98521.0,286.0,14148.0,1766.0,7515.0,15768.0,5335.0,1849.0,891.0,31358.0,31.82874717065397,376.0,12579.0,1989.0,7944.0,16694.0,6092.0,1966.0,818.0,33514.0,33.976419063453605
Orange,75762.0,2989948.0,36.0,34416.0,320473.0,1574209.0,769559.0,78145.0,3132211.0,37.3,35939.0,385556.0,1645577.0,851584.0,2575,3025,17.475728,8.43304,9.51945,12.882804,20.5,19.0,7.6,6.8,7.4,7.8,3021840.0,40718.0,323655.0,31288.0,153953.0,472441.0,168387.0,53938.0,29212.0,877931.0,29.052861832525878,47340.0,331483.0,34440.0,163428.0,520755.0,195472.0,58548.0,32797.0,971000.0,31.000465805145307
Placer,74645.0,343554.0,40.0,35583.0,24576.0,172232.0,97360.0,76926.0,370571.0,41.5,37914.0,31932.0,179960.0,115805.0,274,334,21.89781,7.687019999999999,8.79545,14.419435,22.3,20.3,6.5,4.2,6.4,5.2,350074.0,1333.0,42852.0,5009.0,26113.0,56361.0,18089.0,5541.0,2547.0,108651.0,31.036580837194425,1547.0,44205.0,5083.0,29708.0,63509.0,21583.0,6611.0,2986.0,124397.0,33.569005669628766
